geoid,num_surveys,detectors_found_total,no_detectors_found_prc,no_detectors_found_CI,detectors_working_total,no_detectors_working_prc,no_detectors_working_CI
#_18127,96.0,51.0,46.88,9.982591268136078,32.0,66.67,9.429818618881278
#_18129,643.0,493.0,23.33,3.269043396863282,185.0,71.23,3.4990648213771443
#_18131,44.0,28.0,36.36,14.213687270821996,15.0,65.91,14.006153753910523
#_18133,41.0,33.0,19.51,12.13008213013838,21.0,48.78,15.300471985833255
#_18135,16.0,5.0,68.75,22.71210786673047,3.0,81.25,19.125306370095096
#_18137,9.0,7.0,22.22,27.160690914465174,4.0,55.56,32.46406956457144
#_18139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_18141,1420.0,1060.0,25.35,2.2626417011108133,527.0,62.89,2.5127435895708854
#_18143,83.0,72.0,13.25,7.293898341219748,67.0,19.28,8.487135122351962
#_18145,34.0,27.0,20.59,13.591969275836894,17.0,50.0,16.806861343965867
#_18147,9.0,7.0,22.22,27.160690914465174,6.0,33.33,30.7976586443407
#_18149,3.0,2.0,33.33,53.34310952616092,1.0,66.67,53.34310952616092
#_18151,14.0,7.0,50.0,26.191601707417593,3.0,78.57,21.494706312020178
#_18153,5.0,4.0,20.0,35.0615458871967,1.0,80.0,35.0615458871967
#_18155,22.0,21.0,4.55,8.708400531566161,17.0,22.73,17.51257083479283
#_18157,397.0,277.0,30.23,4.517667389061129,147.0,62.97,4.75011933843459
#_18159,55.0,44.0,20.0,10.571453843423635,20.0,63.64,12.71310837939258
#_18161,3.0,2.0,33.33,53.34310952616092,1.0,66.67,53.34310952616092
#_18163,1171.0,890.0,24.0,2.4461891797219812,310.0,73.53,2.526893146196962
#_18165,177.0,118.0,33.33,6.944681337541701,73.0,58.76,7.25219812219825
#_18167,579.0,371.0,35.92,3.9079248630618255,204.0,64.77,3.890989506872342
#_18169,56.0,9.0,83.93,9.618970831643061,6.0,89.29,8.099499906784366
#_18171,20.0,6.0,70.0,20.08402350128081,1.0,95.0,9.551858457912784
#_18173,206.0,183.0,11.17,4.301588662140119,41.0,80.1,5.452118134756418
#_18175,67.0,58.0,13.43,8.16470288110452,52.0,22.39,9.98170104595135
#_18177,431.0,309.0,28.31,4.2532083825978315,150.0,65.2,4.497082512875454
#_18179,24.0,10.0,58.33,19.724599279579802,6.0,75.0,17.324116139070416
#_18181,4.0,4.0,0.0,0.0,1.0,75.0,42.43524478543749
#_18183,264.0,91.0,65.53,5.7331701839542335,56.0,78.79,4.931283744532543
#_19001,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_19003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19011,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_19013,56.0,41.0,26.79,11.599349065357075,33.0,41.07,12.885243492460667
#_19015,57.0,39.0,31.58,12.067470373854647,29.0,49.12,12.978406536527064
#_19017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19019,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_19021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19027,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_19029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19033,18.0,12.0,33.33,21.7772332720818,9.0,50.0,23.098821518760552
#_19035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19037,15.0,15.0,0.0,0.0,15.0,0.0,0.0
#_19039,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_19041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19043,22.0,17.0,22.73,17.51257083479283,16.0,27.27,18.60990232420266
#_19045,2.0,2.0,0.0,0.0,1.0,50.0,69.29646455628166
#_19047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19049,11.0,6.0,45.45,29.42551347509041,5.0,54.55,29.42551347509041
#_19051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19057,93.0,80.0,13.98,7.048032562628451,55.0,40.86,9.990896002442067
#_19059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19061,722.0,575.0,20.36,2.937257254339794,444.0,38.5,3.549403679774176
#_19063,74.0,42.0,43.24,11.287668528471619,30.0,59.46,11.18650796262345
#_19065,83.0,72.0,13.25,7.293898341219748,60.0,27.71,9.628849538705865
#_19067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19071,8.0,7.0,12.5,22.91765149399039,7.0,12.5,22.91765149399039
#_19073,5.0,3.0,40.0,42.941448508405024,2.0,60.0,42.941448508405024
#_19075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19077,3.0,1.0,66.67,53.34310952616092,1.0,66.67,53.34310952616092
#_19079,7.0,3.0,57.14,36.66091100231962,0.0,100.0,0.0
#_19081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19085,98.0,67.0,31.63,9.207154257423952,35.0,64.29,9.486579956970793
#_19087,3.0,2.0,33.33,53.34310952616092,1.0,66.67,53.34310952616092
#_19089,4.0,4.0,0.0,0.0,4.0,0.0,0.0
#_19091,2.0,2.0,0.0,0.0,0.0,100.0,0.0
#_19093,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_19095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19097,8.0,4.0,50.0,34.64823227814083,3.0,62.5,33.54800664719143
#_19099,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_19101,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_19103,37.0,21.0,43.24,15.963173920536521,17.0,54.05,16.058161313075566
#_19105,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_19107,60.0,23.0,61.67,12.30231463435506,14.0,76.67,10.701645170844838
#_19109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19111,76.0,68.0,10.53,6.900843516861581,56.0,26.32,9.900725648684864
#_19113,382.0,322.0,15.71,3.6492238898886473,232.0,39.27,4.897297430622225
#_19115,3.0,1.0,66.67,53.34310952616092,1.0,66.67,53.34310952616092
#_19117,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_19119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19121,157.0,105.0,33.12,7.3620632012611145,73.0,53.5,7.8020658704687795
#_19123,2.0,1.0,50.0,69.29646455628166,1.0,50.0,69.29646455628166
#_19125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19127,40.0,32.0,20.0,12.396128427860047,18.0,55.0,15.417490068101229
#_19129,108.0,76.0,29.63,8.611995512806109,42.0,61.11,9.194313482437574
#_19131,2.0,2.0,0.0,0.0,1.0,50.0,69.29646455628166
#_19133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19137,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_19139,114.0,79.0,30.7,8.467192836254279,47.0,58.77,9.036248349840768
#_19141,103.0,81.0,21.36,7.915162502634218,63.0,38.83,9.41218369355194
#_19143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19149,2.0,1.0,50.0,69.29646455628166,1.0,50.0,69.29646455628166
#_19151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19153,445.0,311.0,30.11,4.262250435974674,172.0,61.35,4.524369838547138
#_19155,100.0,66.0,34.0,9.284691917344377,38.0,62.0,9.513574302017092
#_19157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19163,129.0,77.0,40.31,8.464833199929911,43.0,66.67,8.134747939835085
#_19165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19169,125.0,115.0,8.0,4.755979478509133,80.0,36.0,8.41477101292721
#_19171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19175,46.0,21.0,54.35,14.39452441487508,15.0,67.39,13.547223104385637
#_19177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_19179,71.0,59.0,16.9,8.717074570658582,39.0,45.07,11.5737867347958
#_19181,3.0,1.0,66.67,53.34310952616092,1.0,66.67,53.34310952616092
#_19183,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_19185,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_19187,208.0,157.0,24.52,5.846562309860122,113.0,45.67,6.769549406150139
#_19189,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_19191,15.0,14.0,6.67,12.626529324561044,14.0,6.67,12.626529324561044
#_19193,296.0,175.0,40.88,5.600578283655301,111.0,62.5,5.515258318911664
#_19195,15.0,11.0,26.67,22.38013965068136,6.0,60.0,24.792256855720094
#_19197,4.0,3.0,25.0,42.43524478543749,2.0,50.0,49.0
#_20001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20003,67.0,50.0,25.37,10.419229986273729,29.0,56.72,11.863980034000571
#_20005,38.0,30.0,21.05,12.96183206267743,21.0,44.74,15.809484285207109
#_20007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20009,5.0,1.0,80.0,35.0615458871967,0.0,100.0,0.0
#_20011,115.0,55.0,52.17,9.129936563311212,32.0,72.17,8.19109771788861
#_20013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20015,161.0,120.0,25.47,6.73012555629375,83.0,48.45,7.7197699560228505
#_20017,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_20019,4.0,2.0,50.0,49.0,1.0,75.0,42.43524478543749
#_20021,116.0,45.0,61.21,8.867437911587658,21.0,81.9,7.006615976937501
#_20023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20027,15.0,9.0,40.0,24.792256855720094,6.0,60.0,24.792256855720094
#_20029,9.0,7.0,22.22,27.160690914465174,5.0,44.44,32.46406956457144
#_20031,103.0,67.0,34.95,9.208411095982921,39.0,62.14,9.367277546201606
#_20033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20035,145.0,72.0,50.34,8.13826886236489,39.0,73.1,7.21783415026209
#_20037,30.0,20.0,33.33,16.868572357849374,8.0,73.33,15.825148510898721
#_20039,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_20041,56.0,24.0,57.14,12.961589387108356,19.0,66.07,12.400983826293784
#_20043,31.0,26.0,16.13,12.947792464678567,19.0,38.71,17.14674229704553
#_20045,294.0,111.0,62.24,5.541574688359498,63.0,78.57,4.690529462651312
#_20047,5.0,2.0,60.0,42.941448508405024,2.0,60.0,42.941448508405024
#_20049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20051,59.0,29.0,50.85,12.756669537732616,22.0,62.71,12.339417469314906
#_20053,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_20055,12.0,6.0,50.0,28.29016319029166,3.0,75.0,24.5
#_20057,342.0,162.0,52.63,5.291897159494567,61.0,82.16,4.057613330359788
#_20059,60.0,48.0,20.0,10.121396478088716,41.0,31.67,11.770914041087321
#_20061,32.0,11.0,65.62,16.45705541037035,8.0,75.0,15.003124674546966
#_20063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20065,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_20067,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_20069,29.0,14.0,51.72,18.18737247668055,10.0,65.52,17.299264755514304
#_20071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20073,89.0,31.0,65.17,9.89832400849147,18.0,79.78,8.344468117477321
#_20075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20077,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_20079,50.0,38.0,24.0,11.838140394504535,20.0,60.0,13.579278331339998
#_20081,5.0,3.0,40.0,42.941448508405024,3.0,40.0,42.941448508405024
#_20083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20085,14.0,7.0,50.0,26.191601707417593,4.0,71.43,23.66396415311686
#_20087,52.0,34.0,34.62,12.93124646927862,14.0,73.08,12.055665701046317
#_20089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20091,152.0,121.0,20.39,6.405111616513798,88.0,42.11,7.849259239538065
#_20093,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_20095,5.0,0.0,100.0,0.0,0.0,100.0,0.0
#_20097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20099,5.0,3.0,40.0,42.941448508405024,2.0,60.0,42.941448508405024
#_20101,4.0,1.0,75.0,42.43524478543749,0.0,100.0,0.0
#_20103,72.0,51.0,29.17,10.499452632399462,31.0,56.94,11.437617464023411
#_20105,22.0,12.0,45.45,20.80698011813256,11.0,50.0,20.893670202849822
#_20107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20111,78.0,35.0,55.13,11.037756296620692,15.0,80.77,8.746281550816544
#_20113,123.0,80.0,34.96,8.427126125994237,63.0,48.78,8.833731619749157
#_20115,14.0,8.0,42.86,25.923178774216712,3.0,78.57,21.494706312020178
#_20117,17.0,8.0,52.94,23.727366610085742,4.0,76.47,20.164530721279178
#_20119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20121,10.0,10.0,0.0,0.0,4.0,60.0,30.364189434266148
#_20123,32.0,20.0,37.5,16.774003323595714,10.0,68.75,16.059885487605445
#_20125,261.0,114.0,56.32,6.0173940962367825,65.0,75.1,5.246328248590058
#_20127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20131,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_20133,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_20135,3.0,3.0,0.0,0.0,0.0,100.0,0.0
#_20137,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_20139,5.0,3.0,40.0,42.941448508405024,3.0,40.0,42.941448508405024
#_20141,12.0,6.0,50.0,28.29016319029166,1.0,91.67,15.63513245269554
#_20143,122.0,74.0,39.34,8.66851164217317,38.0,68.85,8.217830017512002
#_20145,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_20147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20149,7.0,4.0,42.86,36.66091100231962,2.0,71.43,33.46589904484862
#_20151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20153,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_20155,160.0,74.0,53.75,7.725759469139588,48.0,70.0,7.100774605632824
#_20157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20159,2.0,1.0,50.0,69.29646455628166,1.0,50.0,69.29646455628166
#_20161,50.0,35.0,30.0,12.702251768879407,26.0,48.0,13.848201038402063
#_20163,57.0,31.0,45.61,12.930288324379273,21.0,63.16,12.522744359721928
#_20165,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_20167,83.0,52.0,37.35,10.40693557201158,26.0,68.67,9.978855786931963
#_20169,80.0,35.0,56.25,10.870796601445544,21.0,73.75,9.641769482309769
#_20171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20173,893.0,366.0,59.01,3.225760416760393,193.0,78.39,2.699529374735824
#_20175,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_20177,847.0,399.0,52.89,3.361690306236034,218.0,74.26,2.9443952600275534
#_20179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20183,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_20185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20187,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_20189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20191,3.0,2.0,33.33,53.34310952616092,1.0,66.67,53.34310952616092
#_20193,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_20195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20197,5.0,2.0,60.0,42.941448508405024,2.0,60.0,42.941448508405024
#_20199,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_20201,3.0,1.0,66.67,53.34310952616092,0.0,100.0,0.0
#_20203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20205,3.0,1.0,66.67,53.34310952616092,1.0,66.67,53.34310952616092
#_20207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_20209,120.0,93.0,22.5,7.471495834168684,63.0,47.5,8.934945439117131
#_21001,83.0,51.0,38.55,10.471048230055317,23.0,72.29,9.628849538705865
#_21003,135.0,92.0,31.85,7.859172760162107,40.0,70.37,7.702802955423049
#_21005,481.0,442.0,8.11,2.4396531486541373,425.0,11.64,2.866077151497635
#_21007,8.0,5.0,37.5,33.54800664719143,2.0,75.0,30.00624934909393
#_21009,11.0,5.0,54.55,29.42551347509041,3.0,72.73,26.318376261325987
#_21011,146.0,70.0,52.05,8.103717934143832,35.0,76.03,6.924782794951786
#_21013,299.0,149.0,50.17,5.667453575103477,78.0,73.91,4.977475349308783
#_21015,65.0,51.0,21.54,9.994162220200968,30.0,53.85,12.119315723257646
#_21017,210.0,184.0,12.38,4.454596492313679,177.0,15.71,4.921783924283281
#_21019,367.0,235.0,35.97,4.9100397614776545,128.0,65.12,4.8760536263656356
#_21021,401.0,358.0,10.72,3.0280174145376284,341.0,14.96,3.491092110399233
#_21023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_21025,166.0,54.0,67.47,7.126879469955775,18.0,89.16,4.729352643644986
#_21027,515.0,409.0,20.58,3.4917254103496673,333.0,35.34,4.1286073326091195
#_21029,1595.0,1480.0,7.21,1.2693867108145085,1389.0,12.92,1.646137826565612
#_21031,85.0,46.0,45.88,10.593444779374039,21.0,75.29,9.169626152774553
#_21033,507.0,394.0,22.29,3.6228101881888555,345.0,31.95,4.058836785008395
#_21035,74.0,52.0,29.73,10.414121563401173,32.0,56.76,11.287668528471619
#_21037,121.0,62.0,48.76,8.906350764065044,35.0,71.07,8.07943070991785
#_21039,40.0,29.0,27.5,13.83762082151408,17.0,57.5,15.319848236846212
#_21041,41.0,33.0,19.51,12.13008213013838,32.0,21.95,12.669744560152433
#_21043,27.0,20.0,25.93,16.530904615698844,14.0,48.15,18.847194627671602
#_21045,4.0,3.0,25.0,42.43524478543749,2.0,50.0,49.0
#_21047,71.0,52.0,26.76,10.29779209197668,33.0,53.52,11.60160323996062
#_21049,315.0,266.0,15.56,4.002945738439243,232.0,26.35,4.864939903705561
#_21051,15.0,5.0,66.67,23.855763806342484,2.0,86.67,17.201246314845907
#_21053,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_21055,77.0,60.0,22.08,9.264771555246739,33.0,57.14,11.053680569755118
#_21057,32.0,7.0,78.12,14.324710652575149,5.0,84.38,12.578862141704235
#_21059,959.0,829.0,13.56,2.166875661804947,718.0,25.13,2.7453449988348892
#_21061,7.0,4.0,42.86,36.66091100231962,0.0,100.0,0.0
#_21063,12.0,10.0,16.67,21.087929410289036,5.0,58.33,27.894795813556335
#_21065,122.0,67.0,45.08,8.829444357023295,35.0,71.31,8.026323286148552
#_21067,5732.0,4486.0,21.74,1.0678313627312037,3119.0,45.59,1.289368748205326
#_21069,2.0,1.0,50.0,69.29646455628166,1.0,50.0,69.29646455628166
#_21071,351.0,176.0,49.86,5.230832519315467,104.0,70.37,4.777075600844342
#_21073,917.0,808.0,11.89,2.094956122843918,749.0,18.32,2.5037559981596873
#_21075,94.0,52.0,44.68,10.050549630445222,24.0,74.47,8.814714061424842
#_21077,7.0,6.0,14.29,25.926202767084888,3.0,57.14,36.66091100231962
#_21079,213.0,188.0,11.74,4.322970576996502,173.0,18.78,5.245000768699845
#_21081,51.0,32.0,37.25,13.26908532982572,18.0,64.71,13.115429351990686
#_21083,118.0,63.0,46.61,9.000871873324272,45.0,61.86,8.764161460580166
#_21085,260.0,175.0,32.69,5.7018613554090996,83.0,68.08,5.666444145398689
#_21087,37.0,21.0,43.24,15.963173920536521,11.0,70.27,14.72779195516404
#_21089,59.0,49.0,16.95,9.573808476555332,31.0,47.46,12.74204007655534
#_21091,38.0,35.0,7.89,8.571486901410548,33.0,13.16,10.748605538737033
#_21093,2558.0,2148.0,16.03,1.421787327650116,1893.0,26.0,1.699841136853525
#_21095,797.0,384.0,51.82,3.469037645861821,174.0,78.17,2.8679649174246222
#_21097,373.0,303.0,18.77,3.9627075138227448,249.0,33.24,4.780687180640675
#_21099,120.0,90.0,25.0,7.747580267412529,69.0,42.5,8.844918503487374
#_21101,66.0,41.0,37.88,11.703204995472847,27.0,59.09,11.861943151051934
#_21103,194.0,177.0,8.76,3.978321691833296,167.0,13.92,4.87108774964507
#_21105,2.0,2.0,0.0,0.0,1.0,50.0,69.29646455628166
#_21107,443.0,304.0,31.38,4.321216589666402,256.0,42.21,4.599262862088053
#_21109,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_21111,9045.0,8108.0,10.36,0.6280331779428654,7257.0,19.77,0.8207738598794189
#_21113,554.0,492.0,11.19,2.625107950415704,426.0,23.1,3.5097028539099555
#_21115,95.0,51.0,46.32,10.027318220562318,33.0,65.26,9.574866126776092
#_21117,168.0,119.0,29.17,6.873505206224841,85.0,49.4,7.560319746324666
#_21119,68.0,36.0,47.06,11.863683305042871,15.0,77.94,9.855634060719966
#_21121,88.0,34.0,61.36,10.173630719034023,18.0,79.55,8.427164731337042
#_21123,302.0,248.0,17.88,4.321761809985791,216.0,28.48,5.090217564977744
#_21125,66.0,31.0,53.03,12.040795965937358,22.0,66.67,11.372789163613296
#_21127,163.0,118.0,27.61,6.863328100668313,83.0,49.08,7.67465291465945
#_21129,37.0,29.0,21.62,13.264341167978927,23.0,37.84,15.627383719612185
#_21131,4.0,3.0,25.0,42.43524478543749,0.0,100.0,0.0
#_21133,116.0,67.0,42.24,8.98881875742264,39.0,66.38,8.596953057353799
#_21135,230.0,142.0,38.26,6.281277041244842,41.0,82.17,4.946801324773677
#_21137,8.0,6.0,25.0,30.00624934909393,5.0,37.5,33.54800664719143
#_21139,43.0,29.0,32.56,14.006280593080128,17.0,60.47,14.61353335062289
#_21141,193.0,84.0,56.48,6.994701799285845,34.0,82.38,5.375158347328952
#_21143,307.0,273.0,11.07,3.5098199663174907,250.0,18.57,4.34995789120358
#_21145,190.0,131.0,31.05,6.5792624110673845,77.0,59.47,6.980982382444465
#_21147,60.0,34.0,43.33,12.53866781982839,14.0,76.67,10.701645170844838
#_21149,141.0,107.0,24.11,7.060531527537251,91.0,35.46,7.896422206910368
#_21151,1313.0,1133.0,13.71,1.8604699947188204,999.0,23.91,2.307157741277751
#_21153,100.0,47.0,53.0,9.78234409535874,32.0,68.0,9.142932571117433
#_21155,39.0,7.0,82.05,12.04468057500265,0.0,100.0,0.0
#_21157,69.0,49.0,28.99,10.705707907223259,25.0,63.77,11.341588904967212
#_21159,38.0,18.0,52.63,15.875691478483699,8.0,78.95,12.961832062677429
#_21161,5.0,2.0,60.0,42.941448508405024,1.0,80.0,35.0615458871967
#_21163,583.0,524.0,10.12,2.4481813325366915,507.0,13.04,2.733508037513193
#_21165,50.0,34.0,32.0,12.930059241936984,20.0,60.0,13.579278331339998
#_21167,516.0,460.0,10.85,2.6835319070441535,427.0,17.25,3.2599412357380175
#_21169,5.0,3.0,40.0,42.941448508405024,3.0,40.0,42.941448508405024
#_21171,107.0,76.0,28.97,8.595266316523452,46.0,57.01,9.380444657894053
#_21173,67.0,56.0,16.42,8.870670133833384,55.0,17.91,9.18145670736696
#_21175,161.0,123.0,23.6,6.559123589388262,83.0,48.45,7.7197699560228505
#_21177,145.0,74.0,48.97,8.13673002461783,20.0,86.21,5.612198532531768
#_21179,725.0,655.0,9.66,2.150382288720166,591.0,18.48,2.8253362198116014
#_21181,8.0,6.0,25.0,30.00624934909393,6.0,25.0,30.00624934909393
#_21183,427.0,279.0,34.66,4.513838101355198,225.0,47.31,4.735683910862987
#_21185,460.0,439.0,4.57,1.9084365147372886,421.0,8.48,2.545851616018225
#_21187,18.0,16.0,11.11,14.517883310363578,14.0,22.22,19.205508727330177
#_21189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_21191,15.0,8.0,46.67,25.247311251906936,6.0,60.0,24.792256855720094
#_21193,139.0,89.0,35.97,7.978305114974352,57.0,58.99,8.176788301900737
#_21195,268.0,150.0,44.03,5.943478151044244,77.0,71.27,5.417636554202656
#_21197,117.0,86.0,26.5,7.997048814630917,76.0,35.04,8.645063693734011
#_21199,25.0,11.0,56.0,19.458368276913664,6.0,76.0,16.741658699185095
#_21201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_21203,34.0,33.0,2.94,5.678196550479946,10.0,70.59,15.315659977944144
#_21205,61.0,36.0,40.98,12.34174967493218,20.0,67.21,11.780909231408607
#_21207,92.0,55.0,40.22,10.019848294955022,40.0,56.52,10.129966332919718
#_21209,863.0,761.0,11.82,2.1539938501672924,674.0,21.9,2.7592957235350632
#_21211,808.0,763.0,5.57,1.5813681350071027,734.0,9.16,1.9890087358498776
#_21213,232.0,140.0,39.66,6.294932633311578,55.0,76.29,5.472826286109493
#_21215,356.0,342.0,3.93,2.0184650916704343,320.0,10.11,3.1315715607343217
#_21217,79.0,48.0,39.24,10.767525468130337,36.0,54.43,10.982499879215208
#_21219,27.0,12.0,55.56,18.743139302096054,5.0,81.48,14.652785450479296
#_21221,16.0,14.0,12.5,16.205226780270618,8.0,50.0,24.5
#_21223,80.0,66.0,17.5,8.32639627930355,63.0,21.25,8.964288524473092
#_21225,70.0,49.0,30.0,10.735362127101256,36.0,48.57,11.708448910423618
#_21227,201.0,164.0,18.41,5.358008564412566,74.0,63.18,6.667910248749088
#_21229,16.0,10.0,37.5,23.722022995520426,10.0,37.5,23.722022995520426
#_21231,5.0,4.0,20.0,35.0615458871967,2.0,60.0,42.941448508405024
#_21233,127.0,95.0,25.2,7.551014082180706,68.0,46.46,8.674271216949402
#_21235,151.0,70.0,53.64,7.953965372272578,35.0,76.82,6.730719082334222
#_21237,42.0,19.0,54.76,15.05304791462513,0.0,100.0,0.0
#_21239,427.0,356.0,16.63,3.5317760666438116,299.0,29.98,4.345792652481323
#_22001,25.0,12.0,52.0,19.584313722977377,9.0,64.0,18.816
#_22003,2.0,1.0,50.0,69.29646455628166,1.0,50.0,69.29646455628166
#_22005,207.0,67.0,67.63,6.373998281423851,36.0,82.61,5.163414627142337
#_22007,9.0,1.0,88.89,20.531387474466175,1.0,88.89,20.531387474466175
#_22009,54.0,12.0,77.78,11.088305633647783,0.0,100.0,0.0
#_22011,79.0,29.0,63.29,10.629241287473992,13.0,83.54,8.177201066627298
#_22013,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_22015,301.0,76.0,74.75,4.908051524530061,40.0,86.71,3.8350400802004914
#_22017,525.0,103.0,80.38,3.397034222730175,63.0,88.0,2.7797668967019518
