geoid,num_surveys,detectors_found_total,no_detectors_found_prc,no_detectors_found_CI,detectors_working_total,no_detectors_working_prc,no_detectors_working_CI
#_02020,664.0,552.0,16.87,2.8484490995154044,277.0,58.28,3.7506276684669566
#_02050,387.0,183.0,52.71,4.974297479501366,57.0,85.27,3.531019319550484
#_02060,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_02068,5.0,5.0,0.0,0.0,1.0,80.0,35.0615458871967
#_02070,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_02090,335.0,272.0,18.81,4.1848446074825905,85.0,74.63,4.659621304502453
#_02100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_02105,15.0,13.0,13.33,17.20124631484591,8.0,46.67,25.247311251906936
#_02110,77.0,62.0,19.48,8.846206400486029,39.0,49.35,11.167192745635843
#_02122,53.0,43.0,18.87,10.534036640464162,27.0,49.06,13.45895616956752
#_02130,21.0,17.0,19.05,16.79586365746043,11.0,47.62,21.361112465412468
#_02150,24.0,18.0,25.0,17.324116139070416,13.0,45.83,19.93447474619451
#_02158,62.0,22.0,64.52,11.909655838151908,7.0,88.71,7.877592060292734
#_02164,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_02170,237.0,162.0,31.65,5.9215856454974976,104.0,56.12,6.31791878652141
#_02180,14.0,12.0,14.29,18.332593787023153,1.0,92.86,13.488246652549027
#_02185,87.0,46.0,47.13,10.48938002888373,13.0,85.06,7.490907477091465
#_02188,93.0,63.0,32.26,9.501001239733599,41.0,55.91,10.090888155887155
#_02195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_02198,59.0,34.0,42.37,12.609086014377336,14.0,76.27,10.855649379322255
#_02220,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_02230,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_02240,25.0,16.0,36.0,18.816,14.0,44.0,19.458368276913664
#_02261,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_02275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_02282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_02290,12.0,11.0,8.33,15.635132452695542,4.0,66.67,26.67155476308046
#_04001,61.0,18.0,70.49,11.445625029907536,7.0,88.52,7.999867621199823
#_04003,177.0,94.0,46.89,7.351868074469698,50.0,71.75,6.632688737382876
#_04005,244.0,157.0,35.66,6.010247491917314,90.0,63.11,6.054308904746962
#_04007,13.0,9.0,30.77,25.089690796390087,6.0,53.85,27.099613797986127
#_04009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_04011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_04012,55.0,33.0,40.0,12.947333877886,16.0,70.91,12.003290860153918
#_04013,1586.0,345.0,78.25,2.0303751229698364,142.0,91.05,1.4049341612609227
#_04015,1358.0,974.0,28.28,2.3953337262699295,238.0,82.47,2.022297950454475
#_04017,187.0,106.0,43.32,7.102224773134707,32.0,82.89,5.397732308876457
