STCNTY,ST_ABBR,COUNTY,E_TOTPOP,avg_tot_fire_rate_per_cap,std_tot_fire_rate_per_cap,avg_sev_fire_rate_per_cap,std_sev_fire_rate_per_cap,2009_tot_fire_rate_per_cap,2009_sev_fire_rate_per_cap,2010_tot_fire_rate_per_cap,2010_sev_fire_rate_per_cap,2011_tot_fire_rate_per_cap,2011_sev_fire_rate_per_cap,2012_tot_fire_rate_per_cap,2012_sev_fire_rate_per_cap,2013_tot_fire_rate_per_cap,2013_sev_fire_rate_per_cap,2014_tot_fire_rate_per_cap,2014_sev_fire_rate_per_cap,2015_tot_fire_rate_per_cap,2015_sev_fire_rate_per_cap,2016_tot_fire_rate_per_cap,2016_sev_fire_rate_per_cap
01001,AL,Autauga,55049.0,0.00045868226489127864,0.00016442515387759456,0.00012261803120855965,6.985085408944637e-05,0.000708459735871678,0.0002361532452905593,0.0004904721248342386,0.00016349070827807952,0.0005268033933404785,0.00012715943977183964,0.0002543188795436793,3.6331268506239895e-05,0.00043597522207487874,7.266253701247979e-05,0.00019982197678431943,3.6331268506239895e-05,0.0005631346618467183,0.00016349070827807952,0.0004904721248342386,0.00014532507402495958
01003,AL,Baldwin,199510.0,0.0004648889779960904,9.915667694525063e-05,8.207608641170869e-05,2.2723696475142494e-05,0.0003658964462934189,8.019648137937948e-05,0.00047115432810385447,7.518420129316827e-05,0.0003809332865520525,0.00010024560172422435,0.00044108064758658716,6.515964112074582e-05,0.0003959701268106862,5.0122800862112174e-05,0.0006766578116385143,0.00012530700215528044,0.0005012280086211218,8.52087614655907e-05,0.0004861911683624881,7.518420129316827e-05
01005,AL,Barbour,26614.0,0.00024423235890884496,0.00014343030215984483,7.045164199293605e-05,9.299142309133976e-05,0.00037574209062899225,0.00011272262718869767,0.0004508905087547907,0.0,0.0001502968362515969,0.0,0.0003005936725031938,0.00018787104531449612,3.7574209062899225e-05,0.0,0.000338167881566093,0.00022544525437739535,0.00011272262718869767,0.0,0.00018787104531449612,3.7574209062899225e-05
01007,AL,Bibb,22572.0,7.199184830763778e-05,6.237311506172953e-05,3.322700691121743e-05,3.1326722540605503e-05,4.430267588162325e-05,4.430267588162325e-05,4.430267588162325e-05,4.430267588162325e-05,8.86053517632465e-05,4.430267588162325e-05,0.000177210703526493,4.430267588162325e-05,0.0,0.0,0.0,0.0,8.86053517632465e-05,0.0,0.00013290802764486976,8.86053517632465e-05
01009,AL,Blount,57704.0,0.0003899209760155275,0.00019628324496360537,9.531401635935116e-05,6.003226145739904e-05,0.00036392624428115903,6.931928462498267e-05,0.00039858588659365035,6.931928462498267e-05,0.00046790517121863304,0.00024261749618743935,0.0002772771384999307,8.664910578122834e-05,0.000207957853874948,6.931928462498267e-05,0.00029460695965617635,6.931928462498267e-05,0.0002772771384999307,6.931928462498267e-05,0.000831831415499792,8.664910578122834e-05
01011,AL,Bullock,10552.0,3.553828658074299e-05,4.9047495214818574e-05,3.553828658074299e-05,4.9047495214818574e-05,0.0,0.0,0.0,0.0,9.476876421531463e-05,9.476876421531463e-05,0.0,0.0,0.0,0.0,9.476876421531463e-05,9.476876421531463e-05,9.476876421531463e-05,9.476876421531463e-05,0.0,0.0
01013,AL,Butler,20280.0,0.000641025641025641,0.00015593085109311532,0.0002588757396449704,0.00012844873576226028,0.0007396449704142012,0.0004437869822485207,0.0006903353057199211,0.0002958579881656805,0.000641025641025641,9.861932938856015e-05,0.0004930966469428008,0.00034516765285996055,0.00034516765285996055,4.930966469428008e-05,0.0008382642998027613,0.0002958579881656805,0.000641025641025641,0.0002958579881656805,0.0007396449704142012,0.0002465483234714004
01015,AL,Calhoun,115883.0,0.0004929541002562929,0.0005794363917935827,3.991094465969987e-05,3.057482072493293e-05,2.588818031980532e-05,8.629393439935108e-06,5.177636063961064e-05,3.451757375974043e-05,1.7258786879870216e-05,0.0,0.00010355272127922129,3.451757375974043e-05,0.00018984665567857236,3.451757375974043e-05,0.0011563387209513043,9.492332783928618e-05,0.0013202971963100713,6.903514751948086e-05,0.0010786741799918883,4.314696719967554e-05
01017,AL,Chambers,34018.0,0.00046666470691986595,0.0003594923206257177,3.6745252513375276e-05,4.082339201772083e-05,0.00035275442412840264,0.00011758480804280087,0.00020577341407490153,2.939620201070022e-05,0.00020577341407490153,5.879240402140044e-05,0.0009112822623317067,5.879240402140044e-05,0.00023516961608560175,0.0,0.0006467164442354047,2.939620201070022e-05,0.00011758480804280087,0.0,0.0010582632723852077,0.0
01019,AL,Cherokee,25897.0,0.0002799552071668533,0.00017238069486261227,4.826813916669885e-06,1.3652291408011498e-05,0.00011584353400007723,0.0,0.0001544580453334363,0.0,0.0006178321813337452,0.0,0.0001930725566667954,0.0,0.00023168706800015445,0.0,0.00027030157933351353,0.0,0.0001930725566667954,0.0,0.0004633741360003089,3.861451133335908e-05
01021,AL,Chilton,43817.0,0.0007131935093685099,0.00023234163907087703,0.00022822192299792318,0.00010422808735778208,0.0002738663075975078,0.0001369331537987539,0.0004792660382956387,9.128876919916927e-05,0.0006618435766939773,0.0001369331537987539,0.0008215989227925235,0.0002966884998973001,0.0009128876919916927,0.00041079946139626174,0.0007759545381929388,0.00022822192299792318,0.0009585320765912774,0.0002510441152977155,0.0008215989227925235,0.0002738663075975078
