,COUNT
30904,426
28401,426
06360,426
10704,426
75501,426
30224,425
63111,425
11417,425
70501,425
61801,424
02721,424
07002,424
53081,423
45417,423
71901,423
31768,423
33136,422
70119,421
19904,420
10710,420
61820,420
63106,419
04005,418
40517,418
60901,418
14701,418
40505,417
35211,417
70570,417
72450,417
98003,416
32114,416
66104,414
43211,414
55404,414
20020,414
71106,414
07960,414
04401,413
14605,413
10013,413
10309,413
30045,412
11105,412
44601,412
32210,411
62702,411
72390,411
29624,411
19121,410
32304,410
53204,410
39759,409
32209,408
01085,408
60123,407
74401,407
44128,407
01830,406
74106,406
30815,406
24201,405
38125,405
29301,405
55912,405
01701,405
32811,405
08260,405
48089,404
01940,404
13203,404
98902,404
94558,403
19131,403
07424,403
62204,403
38108,403
29730,403
79109,403
48201,403
18201,403
32401,402
55103,401
21202,401
76010,401
32808,401
23452,401
44105,401
19808,400
89108,400
75043,399
62205,399
33140,399
99504,398
43232,398
10952,398
37042,398
89119,397
60402,396
90003,395
44109,395
47402,395
29210,395
60622,394
28502,394
07042,394
77662,393
74403,393
70117,392
77642,392
76119,392
30040,391
21229,391
28303,391
40475,390
75602,390
14613,390
28301,390
63107,389
44108,389
70056,389
60115,388
01545,388
37660,388
30014,388
41101,388
72076,387
55432,387
30331,387
19401,387
48215,387
06854,386
21401,386
44146,386
99301,386
45801,385
14850,385
01841,385
89110,385
02189,385
75115,385
06704,384
40701,384
20002,384
05401,384
46241,383
06108,383
48104,383
01930,383
53215,382
11717,382
21230,382
30315,381
30135,381
30058,381
30501,381
38829,381
11692,381
10471,381
71203,380
28208,379
56303,379
20747,379
66102,379
40211,379
75104,379
79936,379
89502,378
94015,378
95823,377
31015,377
55412,376
28540,376
99508,376
60645,376
24401,376
72701,376
07481,376
31419,376
71730,375
19111,375
18042,375
43606,375
43952,375
45840,374
23462,374
19901,374
67501,374
43224,374
40504,374
11421,373
24541,372
75217,372
53511,372
27707,372
61604,372
90044,372
23455,372
17401,370
60641,370
45215,370
01960,369
48503,369
48015,369
40203,369
44094,369
01850,368
44502,368
20746,368
39503,367
06810,367
39443,367
67401,367
07110,367
31206,367
68104,366
39701,366
30909,365
31404,365
67218,365
06002,365
38107,365
05404,365
30080,365
43229,365
21225,365
21224,364
63366,363
39601,363
01109,363
35901,362
71108,362
08046,361
97301,361
74012,360
72764,360
95828,360
29483,360
55102,359
21239,359
43015,358
33801,358
37601,358
60611,357
27603,357
71220,356
06824,356
48180,356
33068,356
61554,355
53216,355
58103,355
63031,355
07206,355
44306,355
07076,354
30075,354
37064,354
78130,353
12308,353
02171,353
43228,353
27360,353
44320,353
44646,353
64128,353
10703,352
37412,352
90011,352
44483,352
23860,352
38654,351
95926,351
