st_fdid2,station_data_quality,2009,2010,2011,2012,2013,2014,2015,2016,zero_years,sum_tot_fires,std,variation,geometric_variation
AK26500,0,6,12,12,11,7,2,6,7,0,63,3.5228843701879127,0.41845797861790696,0.6205547193662555
AK26510,0,2,4,2,7,5,8,4,6,0,38,2.187627547301936,0.43080804062486583,0.5119356300132032
AK26540,0,4,1,1,6,3,2,1,1,0,19,1.8468119248354136,0.7273828926886976,0.6414397945670713
AK26541,0,3,5,5,4,1,1,5,4,0,28,1.6903085094570331,0.45175395145262565,0.5994711036690388
AK26600,0,1,0,0,1,1,1,2,0,3,6,0.7071067811865476,0.8819171036881969,0.5273030625604476
AK26601,0,2,1,0,0,2,1,0,0,4,6,0.8864052604279183,1.1055415967851332,0.6533319624835885
AK27100,1,9,11,7,9,17,8,16,7,0,84,3.927922024247863,0.3499271061118826,0.3722047585025223
AK27112,0,0,0,0,0,0,0,1,1,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK27114,0,0,0,0,0,0,1,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK27117,0,0,0,0,0,0,0,0,1,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK27118,0,0,0,0,0,1,0,1,0,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK27120,0,0,0,0,0,0,0,0,2,7,2,0.7071067811865476,2.6457513110645907,0.4746462044137798
AK27121,0,0,2,0,0,0,0,0,0,7,2,0.7071067811865476,2.6457513110645907,0.4746462044137798
AK27122,0,0,0,0,0,0,1,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK27123,0,0,0,0,0,1,0,0,1,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK27125,0,0,0,0,0,0,0,1,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK27127,0,0,0,0,2,0,0,1,2,5,5,0.9161253813129043,1.3711309200802089,0.6721278292075594
AK27133,0,0,0,0,0,0,0,1,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK27135,0,0,0,0,1,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK28100,1,8,11,5,9,14,11,13,10,0,81,2.850438562747845,0.2633423334284141,0.33433135029410677
AK28110,0,0,0,0,0,1,0,1,0,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK28410,0,0,0,1,0,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK28420,0,0,0,0,2,0,0,5,6,5,13,2.5035688811888406,1.441153384245784,1.3833662345999964
AK28430,0,5,2,4,1,0,0,2,1,2,15,1.807721533549109,0.9018499505645788,0.9406536341678422
AK28431,0,0,0,0,0,0,0,2,1,6,3,0.7440238091428449,1.8559214542766738,0.5351621290142332
AK28450,0,0,0,0,0,0,0,1,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK29100,0,9,0,2,1,6,6,3,1,1,28,3.1622776601683795,0.8451542547285166,1.1897270746356252
AK29102,0,0,1,0,0,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK29103,0,0,1,0,0,0,1,0,0,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK29104,0,0,0,0,0,0,0,1,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK29106,0,0,0,0,0,2,0,1,0,6,3,0.7440238091428449,1.8559214542766738,0.5351621290142332
AK29107,0,0,0,0,0,1,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK29200,0,0,2,1,2,4,0,3,2,2,14,1.3887301496588271,0.7423074889580903,0.8210599412502861
AK29302,0,0,0,0,0,3,0,0,1,6,4,1.0690449676496976,2.0,0.6748406150858024
AK29303,0,0,1,0,0,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK29306,0,0,0,2,0,0,0,0,0,7,2,0.7071067811865476,2.6457513110645907,0.4746462044137798
AK29600,0,0,0,0,0,0,1,1,0,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK29622,0,0,0,0,0,1,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK31000,0,0,2,1,0,2,0,2,2,3,9,0.9910312089651149,0.8240220541217403,0.7231656484228264
AK31050,0,0,0,1,2,3,3,6,2,2,17,1.9594095320493148,0.8625222528597165,0.9844135294656915
AK31100,1,50,47,43,46,49,42,31,44,0,352,5.9521904731427595,0.12654009915522776,0.15821016059154003
AK31250,0,0,0,1,0,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK31300,0,14,15,16,24,12,12,18,40,0,151,9.372261504796253,0.4644740594728206,0.4718524573267566
AK31350,0,6,6,6,9,3,5,2,1,0,38,2.6049403612586386,0.512989176042577,0.7058982259666275
AK31500,0,1,4,8,8,5,1,1,6,0,34,3.011881234615431,0.6629075099755672,0.9698138688379805
AK31600,1,32,34,32,42,40,36,33,23,0,272,5.7817446699565895,0.1590684386234113,0.1936071445293357
AK31700,1,14,14,20,12,11,10,15,25,0,121,5.02671434864337,0.310880047500893,0.3325515790228919
AK31900,1,13,12,11,11,9,9,9,7,0,81,1.9594095320493148,0.18102318887179233,0.19864432654958053
AK32100,0,0,1,2,0,1,0,1,0,4,5,0.7440238091428449,1.1135528725660042,0.560397448177701
AK32300,0,1,0,0,0,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK32400,0,0,0,0,0,1,0,2,3,5,6,1.164964745021435,1.452966314513558,0.7842585153737718
AK32600,0,0,0,0,0,0,0,0,1,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK33100,0,1,0,0,0,0,2,0,3,5,6,1.164964745021435,1.452966314513558,0.7842585153737718
AK33400,0,6,1,7,3,2,1,1,3,0,24,2.32992949004287,0.726483157256779,0.7433625235004928
AK33401,0,0,0,0,1,3,0,0,0,6,4,1.0690449676496976,2.0,0.6748406150858024
AK33404,0,0,0,0,0,0,0,1,1,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK33405,0,0,0,0,0,2,0,0,0,7,2,0.7071067811865476,2.6457513110645907,0.4746462044137798
AK33406,0,0,0,0,0,0,0,1,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK34210,0,1,0,1,2,1,2,1,1,1,9,0.6408699444616557,0.5328701692569688,0.40445238846931364
AK34501,0,0,0,0,1,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK34503,0,0,0,1,0,1,0,0,0,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK34506,0,0,1,0,1,0,0,2,0,5,4,0.7559289460184544,1.4142135623730951,0.5629512148509475
AK34511,0,0,0,0,1,1,0,0,0,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK34513,0,0,0,0,1,1,2,0,1,4,5,0.7440238091428449,1.1135528725660042,0.560397448177701
AK35100,1,11,14,11,4,9,9,8,8,0,74,2.9154759474226504,0.2948300571523166,0.3815705751942742
AK36100,0,5,4,8,7,8,5,8,1,0,46,2.49284690951645,0.4055382196995137,0.6627780954751752
AK36900,0,3,4,3,6,0,2,3,4,1,25,1.7268882005337975,0.5169139193328034,0.787520192915846
AK37100,0,6,3,2,7,0,5,7,5,1,35,2.5035688811888406,0.5352855427198626,1.0200935225609196
AK37200,0,0,0,0,3,1,1,0,2,4,7,1.1259916264596033,1.203735681882337,0.755399765912125
AK37210,0,1,0,1,0,0,0,0,0,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK37220,0,1,0,0,0,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK37230,0,0,1,0,0,0,0,0,1,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK37250,0,1,0,0,0,0,2,0,1,5,4,0.7559289460184544,1.4142135623730951,0.5629512148509475
AK37300,0,0,1,2,0,0,0,1,0,5,4,0.7559289460184544,1.4142135623730951,0.5629512148509475
AK37500,0,0,0,0,0,2,1,0,0,6,3,0.7440238091428449,1.8559214542766738,0.5351621290142332
AK37510,0,0,0,0,0,1,2,0,0,6,3,0.7440238091428449,1.8559214542766738,0.5351621290142332
AK37521,0,0,1,0,0,0,0,1,0,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK39100,0,1,0,0,1,0,0,1,0,5,3,0.5175491695067657,1.2909944487358056,0.4315213324989562
AK39102,0,0,0,0,0,0,0,1,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK39120,0,0,1,1,1,0,1,0,0,4,4,0.5345224838248488,1.0,0.4484626500136215
AK39500,0,0,0,0,1,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK50000,0,0,0,1,0,1,0,0,2,5,4,0.7559289460184544,1.4142135623730951,0.5629512148509475
AL00101,1,59,80,71,89,81,64,57,60,0,561,12.00520720354297,0.16014036439532364,0.18100203382548297
AL00102,0,75,620,609,0,193,172,583,475,1,2727,257.3732350942054,0.7062724358255519,7.717998926609733
AL00103,0,13,14,22,9,20,13,16,2,0,109,6.254998001598402,0.4294322839804936,0.8983743697210378
AL00104,0,3,3,11,19,16,10,11,2,0,75,6.300510183423924,0.6286493458200685,1.0765517509005686
AL00105,0,4,7,0,0,3,4,16,7,2,41,5.139135558215436,0.9379943669770444,1.7115969520226324
AL00106,0,10,7,8,16,7,8,11,2,0,69,3.9977672339873487,0.43357319714932147,0.6502990790650305
AL00107,1,19,14,13,5,14,12,15,13,0,105,3.9074105418879577,0.27847983842311325,0.42187925075221333
AL00108,0,13,0,7,0,0,0,18,6,4,44,6.928203230275509,1.178316490619611,2.7448278454963666
AL00109,0,0,0,36,15,19,22,18,24,2,134,12.080089876676059,0.6746202614919118,3.3128521508259716
AL00110,0,1,27,39,32,40,23,35,45,0,242,13.80217374184226,0.42680169698100356,1.8026218531901765
AL00111,0,0,3,7,0,0,0,0,10,5,20,3.927922024247863,1.469693845669907,1.8538642850693892
AL00112,0,39,35,0,0,0,0,0,0,6,74,17.161002301730512,1.735421379100394,4.384199623326947
AL00113,1,15,20,11,9,10,10,8,11,0,94,3.9188190640986296,0.31197613401308893,0.31397139298712173
AL00114,1,9,7,8,9,12,13,11,7,0,76,2.2677868380553634,0.22329687826943603,0.23813457117916026
AL00116,0,0,0,0,0,0,2,8,4,5,14,2.9154759474226504,1.558387444947959,1.4493172205373135
AL00118,0,1,0,0,0,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AL00119,0,25,19,24,11,0,0,0,0,4,79,11.357030547512975,1.075800436453651,4.026752545968485
AL00120,0,0,0,0,0,1,0,3,0,6,4,1.0690449676496976,2.0,0.6748406150858024
AL00121,0,5,3,0,0,0,5,4,0,4,17,2.356601669474803,1.037364240502847,1.4307099835009978
AL00122,0,2,0,1,9,0,8,0,1,3,21,3.7008686239082538,1.31879832610726,1.5627175845742043
AL00123,0,0,0,0,0,0,0,0,3,7,3,1.0606601717798212,2.6457513110645907,0.6325269194381529
AL00124,1,6,5,3,7,7,3,3,7,0,41,1.8850918886280925,0.34406673121136305,0.39036306595058456
AL00126,0,0,0,0,0,2,3,3,0,5,8,1.4142135623730951,1.3228756555322954,0.9615222742735978
AL00129,0,0,0,0,0,1,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AL00131,0,0,0,7,6,8,0,0,0,5,21,3.6620642110310255,1.3049704386709258,1.9317465234203852
AL00134,0,2,0,1,0,0,0,2,5,4,10,1.7525491637693282,1.3114877048604001,1.000265392485117
AL00135,0,2,1,0,0,0,0,0,0,6,3,0.7440238091428449,1.8559214542766738,0.5351621290142332
AL00138,0,10,1,0,0,15,5,2,1,2,34,5.496752287877426,1.2098214000707725,1.8463433024033646
AL00139,0,0,2,3,7,3,5,4,4,1,28,2.0701966780270626,0.5532833351724882,0.870925788209262
AL00140,0,0,0,0,0,0,0,1,1,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AL00141,0,4,8,5,0,11,9,0,5,2,42,3.9910614413425693,0.7111040249080037,1.6752891913087513
AL00142,0,0,0,0,0,1,1,3,0,5,5,1.0606601717798212,1.5874507866387544,0.6887186019441878
AL00144,0,0,1,1,2,1,1,4,1,1,11,1.1877349391654208,0.8080176743014171,0.5726736856552226
AL00147,0,0,0,0,0,0,1,1,1,5,3,0.5175491695067657,1.2909944487358056,0.4315213324989562
AL00148,0,1,8,3,0,0,0,13,2,3,27,4.718883039751796,1.3078847098525612,1.7907005435798284
AL00150,1,90,106,97,94,88,101,98,99,0,773,5.853875395228117,0.05667062383909317,0.06200713159905158
AL00151,0,0,0,0,0,0,0,0,1,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AL00154,1,24,31,28,15,22,30,12,31,0,193,7.3569694847810805,0.28525657219690786,0.4053645787268956
AL00158,0,0,0,0,1,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AL00164,0,0,0,0,0,0,0,0,3,7,3,1.0606601717798212,2.6457513110645907,0.6325269194381529
AL00201,0,320,316,371,194,0,307,187,0,2,1695,145.22046048287115,0.6411388892937441,12.60473020086054
AL00202,0,0,0,0,0,0,0,0,1,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AL00205,0,1,21,11,10,22,19,13,15,0,112,6.90755280213519,0.46153028511857447,1.2021494107360802
AL00206,0,2,1,1,5,7,6,4,3,0,29,2.2638462845343543,0.584174977451635,0.7171206536746162
AL00207,0,10,6,4,7,2,0,2,3,1,34,3.24037034920393,0.7131973913518906,1.1133742026036444
AL00212,0,0,2,0,0,0,0,0,0,7,2,0.7071067811865476,2.6457513110645907,0.4746462044137798
AL00213,0,1,0,0,0,4,4,3,8,3,20,2.8284271247461903,1.0583005244258363,1.4044305830035682
AL00214,0,0,0,0,0,9,18,9,5,4,41,6.556076788533128,1.196614299710837,2.6182243675966714
AL00217,0,2,0,0,0,0,0,3,0,6,5,1.1877349391654208,1.7776388834631178,0.7865037871768068
AL00218,0,5,0,0,1,30,16,25,12,2,89,11.716136613357543,0.9851184068274579,3.1444462436653557
AL00219,0,1,0,0,0,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AL00227,1,6,11,11,8,5,10,15,5,0,71,3.5228843701879127,0.37130778384405827,0.43649308506625273
AL00230,0,0,0,0,0,0,0,0,1,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AL00304,0,0,0,5,0,0,8,14,8,4,35,5.2898150116183515,1.131010023593685,2.3658314865798893
AL00306,0,0,0,0,0,2,6,2,3,4,13,2.1339098923270936,1.2283630325131778,1.189788795758966
AL00308,0,3,0,0,0,0,0,0,1,6,4,1.0690449676496976,2.0,0.6748406150858024
AL00309,0,0,3,6,1,4,0,0,0,4,14,2.3145502494313788,1.237179148263484,1.2909432720657148
AL00313,0,0,0,0,0,0,0,0,166,7,166,58.68986283848344,2.6457513110645907,5.107295654198131
AL00401,1,38,33,32,16,26,11,28,27,0,211,8.927285621700953,0.31661463687467456,0.48376533346712414
AL00407,0,1,0,3,0,0,1,1,0,4,6,1.0350983390135313,1.2909944487358056,0.6748406150858026
AL00408,0,4,0,0,0,0,0,0,0,7,4,1.4142135623730951,2.6457513110645907,0.7665389395182867
AL00412,0,0,1,1,1,0,0,0,0,5,3,0.5175491695067657,1.2909944487358056,0.4315213324989562
AL00501,1,12,28,11,15,14,18,11,9,0,118,6.041522986797286,0.38314083238838353,0.39596745395109334
AL00502,0,20,16,17,14,9,19,14,1,0,110,6.181770435262516,0.42054667295346826,1.1681317183374378
AL00503,0,8,5,11,13,16,25,17,12,0,107,6.1164298643664905,0.42776794360171244,0.5641510855081382
AL00504,0,0,10,0,11,11,15,12,9,2,68,5.529143565818179,0.6084753195758,2.208396490040043
AL00505,0,0,0,0,2,3,0,0,0,6,5,1.1877349391654208,1.7776388834631178,0.7865037871768068
AL00506,0,0,0,0,0,0,7,6,12,5,25,4.642582409453969,1.3896762212832166,2.158801046317133
AL00507,0,0,3,5,4,2,4,4,7,1,29,2.065879266282796,0.5330905115082865,0.8817380432309154
AL00508,1,19,13,18,12,12,7,12,14,0,107,3.77728171346236,0.26417372009537515,0.325069361808183
AL00510,0,0,0,3,2,0,1,0,0,5,6,1.164964745021435,1.452966314513558,0.7842585153737718
AL00511,0,0,0,1,1,0,1,0,0,5,3,0.5175491695067657,1.2909944487358056,0.4315213324989562
AL00512,0,0,0,0,0,0,2,0,2,6,4,0.9258200997725514,1.7320508075688772,0.6628926886460285
AL00517,0,0,0,0,0,0,3,0,0,7,3,1.0606601717798212,2.6457513110645907,0.6325269194381529
AL00519,0,0,6,7,4,9,4,1,2,1,33,3.090885217631258,0.7009111215891137,1.1717417947639333
AL00520,0,0,0,0,4,3,5,5,6,3,23,2.5319388392523003,0.8237954487607138,1.4527064922779664
AL00521,1,8,13,7,11,3,8,9,7,0,66,2.9640705601780613,0.33607686383058843,0.4506735268786004
AL00524,0,0,3,3,0,1,2,0,6,3,15,2.100170061141308,1.047748909700114,1.1335437107696755
AL00528,1,9,8,5,10,7,10,8,13,0,70,2.3754698783308417,0.25394841192330253,0.2858633909434549
AL00529,0,0,1,0,0,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AL00537,0,0,0,0,0,1,1,0,0,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AL00601,0,0,8,0,0,0,0,0,0,7,8,2.8284271247461903,2.6457513110645907,1.174581428191967
AL00602,0,7,0,3,9,0,5,1,1,2,26,3.4121631178560534,0.982088102677208,1.4682671479723322
AL00603,0,3,2,0,0,0,0,0,0,6,5,1.1877349391654208,1.7776388834631178,0.7865037871768068
AL00604,0,7,9,0,0,0,0,1,0,5,17,3.6815175442433286,1.6205855663477542,1.6962935196121327
AL00605,0,0,0,0,0,1,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AL00610,0,0,0,0,0,0,1,0,1,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AL00612,0,0,0,1,3,0,0,1,0,5,5,1.0606601717798212,1.5874507866387544,0.6887186019441878
