variable_name	operator	argument1	argument2
house_pct_5_room	/	B25017_006	denom_house_room
house_pct_6_room	/	B25017_007	denom_house_room
house_pct_7_room	/	B25017_008	denom_house_room
house_pct_8_room	/	B25017_009	denom_house_room
house_pct_9_plus_room	/	B25017_010	denom_house_room
denom_house_yr	=	B25034_001
house_yr_pct_2014_plus	/	B25034_002	denom_house_yr
house_yr_pct_2010_2013	/	B25034_003	denom_house_yr
house_yr_pct_2000_2009	/	B25034_004	denom_house_yr
house_yr_pct_1990_1999	/	B25034_005	denom_house_yr
house_yr_pct_1980_1989	/	B25034_006	denom_house_yr
house_yr_pct_1970_1979	/	B25034_007	denom_house_yr
house_yr_pct_1960_1969	/	B25034_008	denom_house_yr
house_yr_pct_1950_1959	/	B25034_009	denom_house_yr
house_yr_pct_1940_1949	/	B25034_010	denom_house_yr
house_yr_pct_earlier_1939	/	B25034_011	denom_house_yr
denom_heat	=	B25040_001
heat_pct_utility_gas	/	B25040_002	denom_heat
heat_pct_bottled_tank_lpgas	/	B25040_003	denom_heat
heat_pct_electricity	/	B25040_004	denom_heat
heat_pct_fueloil_kerosene	/	B25040_005	denom_heat
heat_pct_coal	/	B25040_006	denom_heat
heat_pct_wood	/	B25040_007	denom_heat
heat_pct_solar	/	B25040_008	denom_heat
heat_pct_other	/	B25040_009	denom_heat
heat_pct_no_fuel	/	B25040_010	denom_heat
denom_plumb	=	B25047_001
house_pct_complete_plumb	/	B25047_002	denom_plumb
house_pct_incomplete_plumb	/	B25047_003	denom_plumb
denom_kitch	=	B25051_001
house_pct_complete_kitchen	/	B25051_002	denom_kitch
house_pct_incomplete_kitchen	/	B25051_003	denom_kitch
house_tot_owned	=	B25075_001
house_val_less_10K	/	B25075_002	house_tot_owned
house_val_10K_15K	/	B25075_003	house_tot_owned
house_val_15K_20K	/	B25075_004	house_tot_owned
house_val_20K_25K	/	B25075_005	house_tot_owned
house_val_25K_30K	/	B25075_006	house_tot_owned
house_val_30K_35K	/	B25075_007	house_tot_owned
house_val_35K_40K	/	B25075_008	house_tot_owned
house_val_40K_50K	/	B25075_009	house_tot_owned
house_val_50K_60K	/	B25075_010	house_tot_owned
house_val_60K_70K	/	B25075_011	house_tot_owned
house_val_70K_80K	/	B25075_012	house_tot_owned
house_val_80K_90K	/	B25075_013	house_tot_owned
house_val_90K_100K	/	B25075_014	house_tot_owned
house_val_100K_125K	/	B25075_015	house_tot_owned
house_val_125K_150K	/	B25075_016	house_tot_owned
house_val_150K_175K	/	B25075_017	house_tot_owned
house_val_175K_200K	/	B25075_018	house_tot_owned
house_val_200K_250K	/	B25075_019	house_tot_owned
house_val_250K_300K	/	B25075_020	house_tot_owned
house_val_300K_400K	/	B25075_021	house_tot_owned
house_val_400K_500K	/	B25075_022	house_tot_owned
house_val_500K_750K	/	B25075_023	house_tot_owned
house_val_750K_1M	/	B25075_024	house_tot_owned
house_val_1M_1.5M	/	B25075_025	house_tot_owned
house_val_1.5M_2M	/	B25075_026	house_tot_owned
house_val_more_2M	/	B25075_027	house_tot_owned
denom_house_mort	=	B25081_001
house_tot_w_mort	/	B25081_002	denom_house_mort
house_w_1_mort	/	B25081_007	denom_house_mort
house_w_2_mort	/	B25081_004	denom_house_mort
house_w_home_equity_loan	/	B25081_005	denom_house_mort
house_w_both_2_mort_and_loan	/	B25081_006	denom_house_mort
house_no_mort	/	B25081_008	denom_house_mort
disability_pct	+	B22010_003	B22010_006
disability_pct	/	disability_pct	B22010_001
snap_past_12_mo	/	B22010_002	B22010_001
